WKT;id;calle;tipo_calle;codigo_calle;id_eje;sm;lado;altura;paridad;regla_general_id;regla_general;horario_regla_general_id;horario_regla_general;normativa_id;normativa;horario_normativa_id;horario_normativa;tarifa
"MULTILINESTRING ((-58.4830650630743 -34.5459142733122,-58.483802751247 -34.5463004146284))";1;ARIAS;CALLE;1111;415;43-063;izquierdo;3402 - 3500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4832660387732 -34.547009526559,-58.4828955923269 -34.5468147911707,-58.4825284819167 -34.5466206783278))";2;RAMALLO;CALLE;19002;471;43-063;izquierdo;3402 - 3500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4842286581195 -34.5443840607025,-58.4849670865272 -34.5447679413801))";3;PICO;CALLE;17074;316;43-065;izquierdo;3402 - 3500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4844310081668 -34.5454737746305,-58.4840979807765 -34.5452990661747,-58.4836937077826 -34.5450896988641))";4;DEHEZA;CALLE;4017;362;43-065;izquierdo;3402 - 3500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4776305363626 -34.5528341523826,-58.4769849464608 -34.5536813447326))";5;CONDE;CALLE;3153;1257;43-068;izquierdo;3602 - 3700;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4774641867618 -34.551580341982,-58.4782096627084 -34.551972487792))";6;MANZANARES;CALLE;13026;1036;43-069;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4776778282159 -34.5526705539459,-58.4769337784489 -34.5522781794179))";7;JARAMILLO;CALLE;10005;1136;43-069;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4782324578502 -34.5520441039276,-58.4777682395851 -34.5526533008297))";8;CONDE;CALLE;3153;1137;43-069;izquierdo;3702 - 3800;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4798152011044 -34.5484927051597,-58.4805543278429 -34.5488833165518))";9;BESARES;CALLE;2073;649;43-071;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.479343921972 -34.5490240503313,-58.4797454816387 -34.5484938433477))";10;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;671;43-071;izquierdo;4102 - 4200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4798150738763 -34.5483955135823,-58.4800541415307 -34.5480798677833))";11;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;592;43-072A;izquierdo;4202 - 4250;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4809060484352 -34.5485340611716,-58.480669910115 -34.5488475109622))";12;CONDE;CALLE;3153;650;43-072A;izquierdo;4202 - 4250;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4801105978307 -34.5480028268052,-58.4803357768038 -34.5477054926476))";13;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;554;43-072B;izquierdo;4252 - 4300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4811913763272 -34.5481562347832,-58.4809641573979 -34.5484578525845))";14;CONDE;CALLE;3153;603;43-072B;izquierdo;4252 - 4300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4809734561242 -34.5469787972089,-58.4811638606681 -34.5470762621064,-58.4817143886031 -34.5473606206849))";15;CORREA;CALLE;3169;492;43-073;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4804318313701 -34.5475985014286,-58.4808869481222 -34.5469975207623))";16;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;526;43-073;izquierdo;4302 - 4400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4811891017665 -34.5480576904443,-58.4811068624176 -34.5480139602105,-58.4804506535377 -34.547669441202))";17;RUIZ HUIDOBRO;CALLE;19093;564;43-073;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4817343046984 -34.5474345914229,-58.4812764014628 -34.5480423926795))";18;CONDE;CALLE;3153;565;43-073;izquierdo;4302 - 4400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4810034309909 -34.5468444063225,-58.4814760331266 -34.5462204343746))";19;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;462;43-074;izquierdo;4402 - 4500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4823132895069 -34.5466591548327,-58.4818463416102 -34.5472790726803))";20;CONDE;CALLE;3153;493;43-074;izquierdo;4402 - 4500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.43809176816 -34.6067478318237,-58.4371565766822 -34.6066129400691))";21;LILLO AV.;AVENIDA;12165;4933;45-111Z;derecho;;S/N;1;PROHIBIDO ESTACIONAR;2;DIAS HABILES DE 7 A 21 HORAS;;;;;
"MULTILINESTRING ((-58.4821397731814 -34.5454393613349,-58.4828416180697 -34.5458011245211,-58.4828788361045 -34.5458206123512))";22;ARIAS;CALLE;1111;384;43-075;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4815872329192 -34.5460635535594,-58.4816690996217 -34.5459554137247,-58.4820497020661 -34.5454546678673))";23;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;406;43-075;izquierdo;4502 - 4600;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4823447592971 -34.5465235727196,-58.4818104235645 -34.5462411543321,-58.4816096189863 -34.5461375177317))";24;RAMALLO;CALLE;19002;435;43-075;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4828991204367 -34.5458939039869,-58.4825531005071 -34.5463475746991,-58.4824331354812 -34.5465068459453))";25;CONDE;CALLE;3153;436;43-075;izquierdo;4502 - 4600;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4821659619476 -34.5453022534717,-58.482631332245 -34.5446901092915))";26;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;352;43-076;izquierdo;4602 - 4700;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.48348082878 -34.5451300420569,-58.4830149172513 -34.5457408937106))";27;CONDE;CALLE;3153;385;43-076;izquierdo;4602 - 4700;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4833070548304 -34.5439036896986,-58.4840446576322 -34.5442871817456))";28;PICO;CALLE;17074;291;43-077;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4827479731672 -34.5445367228356,-58.4832154449265 -34.5439217027083))";29;"FREIRE, RAMON, CAP. GRAL.";CALLE;6057;305;43-077;izquierdo;4702 - 4800;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4835088966841 -34.544993841774,-58.4827695880688 -34.5446109102023))";30;DEHEZA;CALLE;4017;334;43-077;izquierdo;3302 - 3400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4840645345861 -34.5443630494752,-58.483616576526 -34.5449544950551,-58.4835989607866 -34.5449776090799))";31;CONDE;CALLE;3153;335;43-077;izquierdo;4702 - 4800;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.475227682264 -34.5527122181973,-58.4758490061453 -34.5518948765733))";32;PINTO;CALLE;17087;1139;43-080;izquierdo;3602 - 3700;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4765311484004 -34.5510868725635,-58.477279816185 -34.5514807139183))";33;MANZANARES;CALLE;13026;979;43-081;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4759847308579 -34.5517170684554,-58.4763176222023 -34.5512790328695,-58.4764502777457 -34.5511066022928))";34;PINTO;CALLE;17087;1005;43-081;izquierdo;3702 - 3800;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4767497816832 -34.5521779969442,-58.4765821406307 -34.5520896040749,-58.4759980208296 -34.5517857723497))";35;JARAMILLO;CALLE;10005;1071;43-081;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4765527248105 -34.5509668900241,-58.4770172838908 -34.5503629370967))";36;PINTO;CALLE;17087;918;43-082;izquierdo;3802 - 3900;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.47887841917 -34.5480103094285,-58.4796436813882 -34.5483890917577))";37;BESARES;CALLE;2073;591;43-084;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.478301226871 -34.5486622324637,-58.4787757658174 -34.5480375384994))";38;PINTO;CALLE;17087;630;43-084;izquierdo;4102 - 4200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4791701094255 -34.5490136574691,-58.4783318682908 -34.548729362358))";39;VILELA;CALLE;23062;670;43-084;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4372271362855 -34.6063877395973,-58.4381939441502 -34.6065324620354))";40;LILLO AV.;AVENIDA;12165;10763;45-111Z;derecho;;S/N;1;PROHIBIDO ESTACIONAR;2;DIAS HABILES DE 7 A 21 HORAS;;;;;
"MULTILINESTRING ((-58.4788938045099 -34.5478847926157,-58.4790090491784 -34.5477330311307,-58.479371469747 -34.5472558724115))";41;PINTO;CALLE;17087;547;43-085;izquierdo;4202 - 4300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4800326958388 -34.5464926783679,-58.4807850835045 -34.5468849768584))";42;CORREA;CALLE;3169;461;43-086;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4794862194805 -34.5471023422309,-58.4799407961095 -34.5465037877072))";43;PINTO;CALLE;17087;477;43-086;izquierdo;4302 - 4400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4802636909931 -34.5475732145019,-58.479511843817 -34.5471784901779))";44;RUIZ HUIDOBRO;CALLE;19093;525;43-086;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4800568948833 -34.546351552223,-58.4805282763991 -34.5457308517451))";45;PINTO;CALLE;17087;425;43-087;izquierdo;4402 - 4500;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4812011096202 -34.5449532146782,-58.4819549860087 -34.5453418437812))";46;ARIAS;CALLE;1111;351;43-088;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4806446349557 -34.5455770322624,-58.4811067505209 -34.5449685001029))";47;PINTO;CALLE;17087;372;43-088;izquierdo;4502 - 4600;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4814229924979 -34.5460424503303,-58.4806693845298 -34.5456534235744))";48;RAMALLO;CALLE;19002;405;43-088;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4812229076036 -34.544815846036,-58.4816888945557 -34.5442022404823))";49;PINTO;CALLE;17087;322;43-089;izquierdo;4602 - 4700;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4823685438424 -34.5434159386067,-58.4831213230557 -34.5438072650727))";50;PICO;CALLE;17074;262;43-090;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.481804742743 -34.5440478472223,-58.4822726950287 -34.5434315911135))";51;PINTO;CALLE;17087;280;43-090;izquierdo;4702 - 4800;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4359579837784 -34.6088707343759,-58.4354124426581 -34.6088502583699,-58.4348433871627 -34.6088324898906))";52;DIAZ VELEZ AV.;AVENIDA;4074;11305;45-121;derecho;;S/N;2;PERMITIDO ESTACIONAR;1;24 HORAS;1;PROHIBIDO ESTACIONAR;2;DIAS HABILES DE 7 A 21 HORAS;
"MULTILINESTRING ((-58.4825834720651 -34.5445149589093,-58.4818302126657 -34.5441248687142))";53;DEHEZA;CALLE;4017;304;43-090;izquierdo;3202 - 3300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4758306262084 -34.5507145897369,-58.4762559420601 -34.5509396075126,-58.4763697642882 -34.5509994569243))";54;MANZANARES;CALLE;13026;917;43-094;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4758344901048 -34.5517009752561,-58.475293387817 -34.5514195018552))";55;JARAMILLO;CALLE;10005;1004;43-094;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4767655589092 -34.5492311219029,-58.4775145273132 -34.5494819725812))";56;PAROISSIEN;CALLE;17024;720;43-096;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4776092510043 -34.5475915970264,-58.4786465138987 -34.5479345216043))";57;BESARES;CALLE;2073;546;43-098;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4781095158372 -34.548660727859,-58.4772245015245 -34.5483600360318))";58;VILELA;CALLE;23062;629;43-098;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4792615094294 -34.5470819104848,-58.4780665554431 -34.546701600893))";59;RUIZ HUIDOBRO;CALLE;19093;476;43-100;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4801849968033 -34.5446090599161,-58.481004134696 -34.544874865947))";60;ARIAS;CALLE;1111;321;43-102;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4804818132967 -34.5455812004448,-58.4798013735008 -34.5453651199774))";61;RAMALLO;CALLE;19002;371;43-102;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4810302373479 -34.5429670096619,-58.4821353420428 -34.5433271912072))";62;PICO;CALLE;17074;232;43-104;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4816108372103 -34.5440350192794,-58.4806498047058 -34.54372151803))";63;DEHEZA;CALLE;4017;279;43-104;izquierdo;3102 - 3200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.479187505911 -34.5442786047615,-58.4799883218285 -34.5445429551797))";64;ARIAS;CALLE;1111;300;43-107;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4796184838516 -34.545295642862,-58.4788207925938 -34.5450243035676))";65;RAMALLO;CALLE;19002;353;43-107;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4799954502117 -34.5426203478375,-58.4803110533043 -34.5427252518293,-58.4807987238482 -34.5428860040741))";66;PICO;CALLE;17074;208;43-109;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4804267271492 -34.5436477139019,-58.4796244207595 -34.5433844933066))";67;DEHEZA;CALLE;4017;252;43-109;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4343093579216 -34.6084227329264,-58.4346323173299 -34.6077579652731))";68;"FINLAY, CARLOS J. AV.";AVENIDA;6029;4967;45-136Z;izquierdo;;S/N;1;PROHIBIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4736859624751 -34.5518652531702,-58.4736907182798 -34.5518590245947,-58.4742849902951 -34.5510766737813))";69;CONESA;CALLE;3155;1032;43-112;izquierdo;3602 - 3700;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4750892944909 -34.5514966055802,-58.4744764441317 -34.5523007781976))";70;ZAPIOLA;CALLE;27008;1094;43-112;izquierdo;3602 - 3700;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4749751391568 -34.5502612109497,-58.4756768057397 -34.5506325309291))";71;MANZANARES;CALLE;13026;868;43-113;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4744185697644 -34.5509013186888,-58.474888657229 -34.550282499756))";72;CONESA;CALLE;3155;906;43-113;izquierdo;3702 - 3800;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4751355480932 -34.5513429877675,-58.4744314273283 -34.550976791827))";73;JARAMILLO;CALLE;10005;966;43-113;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4301689288599 -34.6154271122696,-58.4307161834806 -34.615669181116))";74;RIVADAVIA AV.;AVENIDA;19046;13232;45-142;derecho;4609 - 4631;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;1;PROHIBIDO ESTACIONAR;2;DIAS HABILES DE 7 A 21 HORAS;
"MULTILINESTRING ((-58.4756914543267 -34.5507068730623,-58.4752238210031 -34.5513205679212))";75;ZAPIOLA;CALLE;27008;967;43-113;izquierdo;3702 - 3800;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4749711312283 -34.550164924393,-58.4751781593925 -34.5499052362819))";76;CONESA;CALLE;3155;817;43-114;izquierdo;3802 - 3900;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4761410721095 -34.5501139156142,-58.4757919023258 -34.5505776811494))";77;ZAPIOLA;CALLE;27008;869;43-114;izquierdo;3802 - 3900;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4757584391926 -34.5488947140836,-58.4765731802597 -34.5491675361786))";78;PAROISSIEN;CALLE;17024;683;43-115;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4753825491137 -34.549522534042,-58.4756833953756 -34.5489154912519))";79;CONESA;CALLE;3155;770;43-115;izquierdo;3902 - 4000;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4766234563542 -34.549221094341,-58.4763943210836 -34.549682169576,-58.4763727146814 -34.5497234840414))";80;ZAPIOLA;CALLE;27008;801;43-115;izquierdo;3902 - 4000;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4757550445488 -34.5487579436158,-58.4760777584196 -34.548099471905))";81;CONESA;CALLE;3155;642;43-116;izquierdo;4002 - 4100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4770183717129 -34.5484186997212,-58.4769667189017 -34.5485256091758,-58.4766946567396 -34.5490728833266))";82;ZAPIOLA;CALLE;27008;684;43-116;izquierdo;4002 - 4100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4316594673117 -34.6088157047934,-58.4305857378127 -34.6088052806268))";83;DIAZ VELEZ AV.;AVENIDA;4074;11299;45-148;derecho;4501 - 4585;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;1;PROHIBIDO ESTACIONAR;2;DIAS HABILES DE 7 A 21 HORAS;
"MULTILINESTRING ((-58.4765670424703 -34.5472483663507,-58.4773814290753 -34.5475175774458))";84;BESARES;CALLE;2073;510;43-117;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4761575291383 -34.5479342548089,-58.476480645078 -34.5472750494903))";85;CONESA;CALLE;3155;551;43-117;izquierdo;4102 - 4200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4770125455438 -34.5482802389011,-58.4761973344326 -34.5480033069715))";86;VILELA;CALLE;23062;581;43-117;izquierdo;3002 - 3100;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4774188734844 -34.5475857551978,-58.4770965820921 -34.5482526813672))";87;ZAPIOLA;CALLE;27008;582;43-117;izquierdo;4102 - 4200;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4765636290598 -34.547110497215,-58.4768892570138 -34.5464459945498))";88;CONESA;CALLE;3155;481;43-118;izquierdo;4202 - 4300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4778194552589 -34.5467535550024,-58.4775246988463 -34.5473681947315,-58.4774996811389 -34.5474199269233))";89;ZAPIOLA;CALLE;27008;511;43-118;izquierdo;4202 - 4300;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.477377863637 -34.5455900613259,-58.4774502590161 -34.5456145040207,-58.4781806770853 -34.5458552672878))";90;CORREA;CALLE;3169;386;43-119;izquierdo;2902 - 3000;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4769719765813 -34.5462801336357,-58.4772962367809 -34.5456184469186))";91;CONESA;CALLE;3155;420;43-119;izquierdo;4302 - 4400;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
"MULTILINESTRING ((-58.4778153123326 -34.5466161736853,-58.4773693639878 -34.5464695644888,-58.4770065705601 -34.546348796958))";92;RUIZ HUIDOBRO;CALLE;19093;445;43-119;izquierdo;2902 - 3000;PAR;1;PROHIBIDO ESTACIONAR;1;24 HORAS;2;PERMITIDO ESTACIONAR;1;24 HORAS;
