WKT;id;calle;tipo_calle;codigo_calle;id_eje;sm;lado;altura;paridad;regla_general_id;regla_general;horario_regla_general_id;horario_regla_general;normativa_id;normativa;horario_normativa_id;horario_normativa;tarifa
"MULTILINESTRING ((-58.4022388847092 -34.5836295650586,-58.4034571122544 -34.5852726879573))";24860;SANCHEZ DE BUSTAMANTE;CALLE;20029;5430;15-054;derecho;2401 - 2599;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;6;PERMITIDO ESTACIONAR A 45Â°;1;24 HORAS;
"MULTILINESTRING ((-58.4081634259094 -34.5881009757401,-58.4074944868629 -34.5873588559584))";24861;BILLINGHURST;CALLE;2082;6443;15-050;derecho;2001 - 2099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4065852170313 -34.5880423050103,-58.4073879905548 -34.5887182364174))";24862;SANCHEZ DE BUSTAMANTE;CALLE;20029;6605;15-050;derecho;2001 - 2099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4075124149664 -34.5887349246417,-58.407577713166 -34.5886853973382,-58.4081534005771 -34.5882196648629,-58.4081705229737 -34.5882057630656))";24863;BERUTI;CALLE;2071;6606;15-050;derecho;3101 - 3199;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4073272518754 -34.5871748771827,-58.4073187458758 -34.5871654359321,-58.406671815129 -34.5864436713851))";24864;BILLINGHURST;CALLE;2082;6230;15-051;derecho;2101 - 2199;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4056252791254 -34.5872353855013,-58.4056314771456 -34.5872407170907,-58.406388687518 -34.5878783067814))";24865;SANCHEZ DE BUSTAMANTE;CALLE;20029;6404;15-051;derecho;2101 - 2199;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.406513985795 -34.5862695326012,-58.405931907151 -34.5856200696707,-58.4059307111627 -34.5856187401647))";24866;BILLINGHURST;CALLE;2082;6016;15-052;derecho;2201 - 2299;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.404945435795 -34.5847096912961,-58.4037325198662 -34.5854265174759))";24867;"PACHECO DE MELO, JOSE ANDRES";CALLE;17002;5843;15-053;derecho;2901 - 2999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4057720426388 -34.5854446009725,-58.4051087960523 -34.5847081607372))";24868;BILLINGHURST;CALLE;2082;5844;15-053;derecho;2301 - 2399;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4036905333748 -34.5855465080069,-58.4044655339113 -34.5862231777296))";24869;SANCHEZ DE BUSTAMANTE;CALLE;20029;6020;15-053;derecho;2301 - 2399;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
