calle,x0,y0,x1,y1,mano,regla,hInicio,hFin
ARIAS-58.4830650630743,-34.5459142733122,-58.483802751247,-34.5463004146284,izquierdo,PERMITIDO ESTACIONAR,0,24
RAMALLO-58.4832660387732,-34.547009526559,-58.4828955923269,-34.5468147911707,izquierdo,PERMITIDO ESTACIONAR,0,24
PICO-58.4842286581195,-34.5443840607025,-58.4849670865272,-34.5447679413801,izquierdo,PERMITIDO ESTACIONAR,0,24
DEHEZA-58.4844310081668,-34.5454737746305,-58.4840979807765,-34.5452990661747,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.4776305363626,-34.5528341523826,-58.4769849464608,-34.5536813447326,izquierdo,PERMITIDO ESTACIONAR,0,24
MANZANARES-58.4774641867618,-34.551580341982,-58.4782096627084,-34.551972487792,izquierdo,PERMITIDO ESTACIONAR,0,24
JARAMILLO-58.4776778282159,-34.5526705539459,-58.4769337784489,-34.5522781794179,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.4782324578502,-34.5520441039276,-58.4777682395851,-34.5526533008297,izquierdo,PERMITIDO ESTACIONAR,0,24
BESARES-58.4798152011044,-34.5484927051597,-58.4805543278429,-34.5488833165518,izquierdo,PERMITIDO ESTACIONAR,0,24
FREIRE, RAMON, CAP. GRAL.-58.479343921972,-34.5490240503313,-58.4797454816387,-34.5484938433477,izquierdo,PERMITIDO ESTACIONAR,0,24
FREIRE, RAMON, CAP. GRAL.-58.4798150738763,-34.5483955135823,-58.4800541415307,-34.5480798677833,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.4809060484352,-34.5485340611716,-58.480669910115,-34.5488475109622,izquierdo,PERMITIDO ESTACIONAR,0,24
FREIRE, RAMON, CAP. GRAL.-58.4801105978307,-34.5480028268052,-58.4803357768038,-34.5477054926476,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.4811913763272,-34.5481562347832,-58.4809641573979,-34.5484578525845,izquierdo,PERMITIDO ESTACIONAR,0,24
CORREA-58.4809734561242,-34.5469787972089,-58.4811638606681,-34.5470762621064,izquierdo,PERMITIDO ESTACIONAR,0,24
FREIRE, RAMON, CAP. GRAL.-58.4804318313701,-34.5475985014286,-58.4808869481222,-34.5469975207623,izquierdo,PERMITIDO ESTACIONAR,0,24
RUIZ HUIDOBRO-58.4811891017665,-34.5480576904443,-58.4811068624176,-34.5480139602105,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.4817343046984,-34.5474345914229,-58.4812764014628,-34.5480423926795,izquierdo,PERMITIDO ESTACIONAR,0,24
FREIRE, RAMON, CAP. GRAL.-58.4810034309909,-34.5468444063225,-58.4814760331266,-34.5462204343746,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.4823132895069,-34.5466591548327,-58.4818463416102,-34.5472790726803,izquierdo,PERMITIDO ESTACIONAR,0,24
LILLO AV.-58.43809176816,-34.6067478318237,-58.4371565766822,-34.6066129400691,derecho,PERMITIDO ESTACIONAR,22,6
LILLO AV.-58.43809176816,-34.6067478318237,-58.4371565766822,-34.6066129400691,derecho,PROHIBIDO ESTACIONAR,7,21
ARIAS-58.4821397731814,-34.5454393613349,-58.4828416180697,-34.5458011245211,izquierdo,PERMITIDO ESTACIONAR,0,24
FREIRE, RAMON, CAP. GRAL.-58.4815872329192,-34.5460635535594,-58.4816690996217,-34.5459554137247,izquierdo,PERMITIDO ESTACIONAR,0,24
RAMALLO-58.4823447592971,-34.5465235727196,-58.4818104235645,-34.5462411543321,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.4828991204367,-34.5458939039869,-58.4825531005071,-34.5463475746991,izquierdo,PERMITIDO ESTACIONAR,0,24
FREIRE, RAMON, CAP. GRAL.-58.4821659619476,-34.5453022534717,-58.482631332245,-34.5446901092915,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.48348082878,-34.5451300420569,-58.4830149172513,-34.5457408937106,izquierdo,PERMITIDO ESTACIONAR,0,24
PICO-58.4833070548304,-34.5439036896986,-58.4840446576322,-34.5442871817456,izquierdo,PERMITIDO ESTACIONAR,0,24
FREIRE, RAMON, CAP. GRAL.-58.4827479731672,-34.5445367228356,-58.4832154449265,-34.5439217027083,izquierdo,PERMITIDO ESTACIONAR,0,24
DEHEZA-58.4835088966841,-34.544993841774,-58.4827695880688,-34.5446109102023,izquierdo,PERMITIDO ESTACIONAR,0,24
CONDE-58.4840645345861,-34.5443630494752,-58.483616576526,-34.5449544950551,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.475227682264,-34.5527122181973,-58.4758490061453,-34.5518948765733,izquierdo,PERMITIDO ESTACIONAR,0,24
MANZANARES-58.4765311484004,-34.5510868725635,-58.477279816185,-34.5514807139183,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.4759847308579,-34.5517170684554,-58.4763176222023,-34.5512790328695,izquierdo,PERMITIDO ESTACIONAR,0,24
JARAMILLO-58.4767497816832,-34.5521779969442,-58.4765821406307,-34.5520896040749,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.4765527248105,-34.5509668900241,-58.4770172838908,-34.5503629370967,izquierdo,PERMITIDO ESTACIONAR,0,24
BESARES-58.47887841917,-34.5480103094285,-58.4796436813882,-34.5483890917577,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.478301226871,-34.5486622324637,-58.4787757658174,-34.5480375384994,izquierdo,PERMITIDO ESTACIONAR,0,24
VILELA-58.4791701094255,-34.5490136574691,-58.4783318682908,-34.548729362358,izquierdo,PERMITIDO ESTACIONAR,0,24
LILLO AV.-58.4372271362855,-34.6063877395973,-58.4381939441502,-34.6065324620354,derecho,PERMITIDO ESTACIONAR,22,6
LILLO AV.-58.4372271362855,-34.6063877395973,-58.4381939441502,-34.6065324620354,derecho,PROHIBIDO ESTACIONAR,7,21
PINTO-58.4788938045099,-34.5478847926157,-58.4790090491784,-34.5477330311307,izquierdo,PERMITIDO ESTACIONAR,0,24
CORREA-58.4800326958388,-34.5464926783679,-58.4807850835045,-34.5468849768584,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.4794862194805,-34.5471023422309,-58.4799407961095,-34.5465037877072,izquierdo,PERMITIDO ESTACIONAR,0,24
RUIZ HUIDOBRO-58.4802636909931,-34.5475732145019,-58.479511843817,-34.5471784901779,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.4800568948833,-34.546351552223,-58.4805282763991,-34.5457308517451,izquierdo,PERMITIDO ESTACIONAR,0,24
ARIAS-58.4812011096202,-34.5449532146782,-58.4819549860087,-34.5453418437812,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.4806446349557,-34.5455770322624,-58.4811067505209,-34.5449685001029,izquierdo,PERMITIDO ESTACIONAR,0,24
RAMALLO-58.4814229924979,-34.5460424503303,-58.4806693845298,-34.5456534235744,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.4812229076036,-34.544815846036,-58.4816888945557,-34.5442022404823,izquierdo,PERMITIDO ESTACIONAR,0,24
PICO-58.4823685438424,-34.5434159386067,-58.4831213230557,-34.5438072650727,izquierdo,PERMITIDO ESTACIONAR,0,24
PINTO-58.481804742743,-34.5440478472223,-58.4822726950287,-34.5434315911135,izquierdo,PERMITIDO ESTACIONAR,0,24
DIAZ VELEZ AV.-58.4359579837784,-34.6088707343759,-58.4354124426581,-34.6088502583699,derecho,PERMITIDO ESTACIONAR,22,6
DIAZ VELEZ AV.-58.4359579837784,-34.6088707343759,-58.4354124426581,-34.6088502583699,derecho,PROHIBIDO ESTACIONAR,7,21
DEHEZA-58.4825834720651,-34.5445149589093,-58.4818302126657,-34.5441248687142,izquierdo,PERMITIDO ESTACIONAR,0,24
MANZANARES-58.4758306262084,-34.5507145897369,-58.4762559420601,-34.5509396075126,izquierdo,PERMITIDO ESTACIONAR,0,24
JARAMILLO-58.4758344901048,-34.5517009752561,-58.475293387817,-34.5514195018552,izquierdo,PERMITIDO ESTACIONAR,0,24
PAROISSIEN-58.4767655589092,-34.5492311219029,-58.4775145273132,-34.5494819725812,izquierdo,PERMITIDO ESTACIONAR,0,24
BESARES-58.4776092510043,-34.5475915970264,-58.4786465138987,-34.5479345216043,izquierdo,PERMITIDO ESTACIONAR,0,24
VILELA-58.4781095158372,-34.548660727859,-58.4772245015245,-34.5483600360318,izquierdo,PERMITIDO ESTACIONAR,0,24
RUIZ HUIDOBRO-58.4792615094294,-34.5470819104848,-58.4780665554431,-34.546701600893,izquierdo,PERMITIDO ESTACIONAR,0,24
ARIAS-58.4801849968033,-34.5446090599161,-58.481004134696,-34.544874865947,izquierdo,PERMITIDO ESTACIONAR,0,24
RAMALLO-58.4804818132967,-34.5455812004448,-58.4798013735008,-34.5453651199774,izquierdo,PERMITIDO ESTACIONAR,0,24
PICO-58.4810302373479,-34.5429670096619,-58.4821353420428,-34.5433271912072,izquierdo,PERMITIDO ESTACIONAR,0,24
DEHEZA-58.4816108372103,-34.5440350192794,-58.4806498047058,-34.54372151803,izquierdo,PERMITIDO ESTACIONAR,0,24
ARIAS-58.479187505911,-34.5442786047615,-58.4799883218285,-34.5445429551797,izquierdo,PERMITIDO ESTACIONAR,0,24
RAMALLO-58.4796184838516,-34.545295642862,-58.4788207925938,-34.5450243035676,izquierdo,PERMITIDO ESTACIONAR,0,24
PICO-58.4799954502117,-34.5426203478375,-58.4803110533043,-34.5427252518293,izquierdo,PERMITIDO ESTACIONAR,0,24
DEHEZA-58.4804267271492,-34.5436477139019,-58.4796244207595,-34.5433844933066,izquierdo,PERMITIDO ESTACIONAR,0,24
FINLAY, CARLOS J. AV.-58.4343093579216,-34.6084227329264,-58.4346323173299,-34.6077579652731,izquierdo,PROHIBIDO ESTACIONAR,0,24
CONESA-58.4736859624751,-34.5518652531702,-58.4736907182798,-34.5518590245947,izquierdo,PERMITIDO ESTACIONAR,0,24
ZAPIOLA-58.4750892944909,-34.5514966055802,-58.4744764441317,-34.5523007781976,izquierdo,PERMITIDO ESTACIONAR,0,24
MANZANARES-58.4749751391568,-34.5502612109497,-58.4756768057397,-34.5506325309291,izquierdo,PERMITIDO ESTACIONAR,0,24
CONESA-58.4744185697644,-34.5509013186888,-58.474888657229,-34.550282499756,izquierdo,PERMITIDO ESTACIONAR,0,24
JARAMILLO-58.4751355480932,-34.5513429877675,-58.4744314273283,-34.550976791827,izquierdo,PERMITIDO ESTACIONAR,0,24
RIVADAVIA AV.-58.4301689288599,-34.6154271122696,-58.4307161834806,-34.615669181116,derecho,PERMITIDO ESTACIONAR,22,6
RIVADAVIA AV.-58.4301689288599,-34.6154271122696,-58.4307161834806,-34.615669181116,derecho,PROHIBIDO ESTACIONAR,7,21
ZAPIOLA-58.4756914543267,-34.5507068730623,-58.4752238210031,-34.5513205679212,izquierdo,PERMITIDO ESTACIONAR,0,24
CONESA-58.4749711312283,-34.550164924393,-58.4751781593925,-34.5499052362819,izquierdo,PERMITIDO ESTACIONAR,0,24
ZAPIOLA-58.4761410721095,-34.5501139156142,-58.4757919023258,-34.5505776811494,izquierdo,PERMITIDO ESTACIONAR,0,24
PAROISSIEN-58.4757584391926,-34.5488947140836,-58.4765731802597,-34.5491675361786,izquierdo,PERMITIDO ESTACIONAR,0,24
CONESA-58.4753825491137,-34.549522534042,-58.4756833953756,-34.5489154912519,izquierdo,PERMITIDO ESTACIONAR,0,24
ZAPIOLA-58.4766234563542,-34.549221094341,-58.4763943210836,-34.549682169576,izquierdo,PERMITIDO ESTACIONAR,0,24
CONESA-58.4757550445488,-34.5487579436158,-58.4760777584196,-34.548099471905,izquierdo,PERMITIDO ESTACIONAR,0,24
ZAPIOLA-58.4770183717129,-34.5484186997212,-58.4769667189017,-34.5485256091758,izquierdo,PERMITIDO ESTACIONAR,0,24
