calle,x0,y0,hora,cantidad
CORDOBA AV. 1749,-58.392148,-34.599512,5,2
CORDOBA AV. 2523,-58.402911,-34.59879,15,5
CORDOBA AV. 1980,-58.395434,-34.599776,19,9
CORDOBA AV. 1980,-58.395434,-34.599776,15,15
PUEYRREDON AV. 214,-58.406212,-34.607467,0,8
CORDOBA AV. 2149,-58.398175,-34.599668,2,2
CORDOBA AV. 1749,-58.392148,-34.599512,6,2
CORDOBA AV. 1431,-58.387335,-34.599232,13,8
CORDOBA AV. 1749,-58.392148,-34.599512,2,1
CORDOBA AV. 2149,-58.398175,-34.599668,4,1
ROSARIO 21,-58.429075,-34.618311,3,2
PUEYRREDON AV. 367,-58.40571,-34.605973,10,19
PUEYRREDON AV. 367,-58.40571,-34.605973,4,4
CORDOBA AV. 1431,-58.387335,-34.599232,17,7
CORDOBA AV. 1980,-58.395434,-34.599776,2,1
PUEYRREDON AV. 870,-58.404389,-34.600218,2,3
PUEYRREDON AV. 870,-58.404389,-34.600218,4,3
CORDOBA AV. 1980,-58.395434,-34.599776,4,1
RABANAL FRANCISCO INTENDENTE AV. 1323,-58.417658,-34.654886,20,4
PUEYRREDON AV. 214,-58.406212,-34.607467,8,28
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,6,1
VEDIA 3438,-58.86039,-34.544242,17,8
ROSARIO 21,-58.429075,-34.618311,8,11
ROSARIO 21,-58.429075,-34.618311,2,4
CORDOBA AV. 2149,-58.398175,-34.599668,5,3
CORDOBA AV. 2149,-58.398175,-34.599668,3,2
RIVADAVIA AV. 6626,-58.459176,-34.62777,6,18
PUEYRREDON AV. 768,-58.404705,-34.601207,13,16
PUEYRREDON AV. 768,-58.404705,-34.601207,3,2
CORDOBA AV. 1980,-58.395434,-34.599776,11,10
CORDOBA AV. 1147,-58.383217,-34.599039,16,8
CORDOBA AV. 1980,-58.395434,-34.599776,3,2
PUEYRREDON AV. 459,-58.405495,-34.60505,2,3
PUEYRREDON AV. 870,-58.404389,-34.600218,3,2
RIVADAVIA AV. 6626,-58.459176,-34.62777,2,4
ROSARIO 21,-58.429075,-34.618311,17,15
ROSARIO 21,-58.429075,-34.618311,14,15
ROSARIO 21,-58.429075,-34.618311,19,10
ROSARIO 21,-58.429075,-34.618311,12,13
CORDOBA AV. 1147,-58.383217,-34.599039,20,2
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,18,17
RIVADAVIA AV. 7420,-58.469991,-34.630911,17,15
RIVADAVIA AV. 6626,-58.459176,-34.62777,13,24
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,16,4
SAN MARTIN AV. 1844,-58.454414,-34.605652,19,9
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,11,13
RIVADAVIA AV. 7420,-58.469991,-34.630911,14,16
OLIVERA AV. 187,-58.487032,-34.637596,0,1
OLIVERA AV. 187,-58.487032,-34.637596,15,9
RIVADAVIA AV. 7420,-58.469991,-34.630911,7,13
FOREST AV. 634,-58.454309,-34.584925,0,1
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,10,2
AU. PERITO MORENO - SENTIDO PROVINCIA - PK 0+701,-58.522022,-34.636805,14,4
AVELLANEDA AV. 1825,-58.456423,-34.621237,12,6
ALBERDI JUAN BAUTISTA AV. 890,-58.440541,-34.623013,13,2
AVELLANEDA AV. 1825,-58.456423,-34.621237,8,3
AVELLANEDA AV. 2924,-58.471929,-34.626563,8,2
AVELLANEDA AV. 2924,-58.471929,-34.626563,12,3
RIVADAVIA AV. 6626,-58.459176,-34.62777,18,22
AVELLANEDA AV. 1825,-58.456423,-34.621237,16,4
AVELLANEDA AV. 2924,-58.471929,-34.626563,11,1
AVELLANEDA AV. 1825,-58.456423,-34.621237,11,5
RIVADAVIA AV. 6626,-58.459176,-34.62777,18,20
AVELLANEDA AV. 1825,-58.456423,-34.621237,11,4
RIVADAVIA AV. 6626,-58.459176,-34.62777,19,15
AVELLANEDA AV. 1825,-58.456423,-34.621237,17,3
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,1,4
RIVADAVIA AV. 6626,-58.459176,-34.62777,0,3
RIVADAVIA AV. 7420,-58.469991,-34.630911,9,14
SANTA FE AV. 4650,-58.425858,-34.578448,19,3
AVELLANEDA AV. 1825,-58.456423,-34.621237,8,1
AVELLANEDA AV. 1825,-58.456423,-34.621237,13,1
RIVADAVIA AV. 6626,-58.459176,-34.62777,18,16
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,12,2
ROCA CNEL. AV. 5870,-58.460539,-34.689402,13,1
RIVADAVIA AV. 2775,-58.405518,-34.610013,11,7
RIVADAVIA AV. 2775,-58.405518,-34.610013,0,2
RIVADAVIA AV. 2775,-58.405518,-34.610013,17,6
PUEYRREDON AV. 1418,-58.402311,-34.594121,5,3
PUEYRREDON AV. 870,-58.404389,-34.600218,8,15
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,10,19
PUEYRREDON AV. 768,-58.404705,-34.601207,8,12
PUEYRREDON AV. 1418,-58.402311,-34.594121,10,4
CALLAO AV. 1588,-58.391201,-34.591009,16,18
MONTES DE OCA MANUEL AV. 1685,-58.373211,-34.646401,3,4
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,2,4
VEDIA 3438,-58.86039,-34.544242,14,6
CORDOBA AV. 1431,-58.387335,-34.599232,16,4
CALLAO AV. 337,-58.392133,-34.605181,9,11
CALLAO AV. 337,-58.392133,-34.605181,7,7
CALLAO AV. 337,-58.392133,-34.605181,15,12
PUEYRREDON AV. 459,-58.405495,-34.60505,18,17
BOEDO AV. 965,-58.416231,-34.624996,13,4
BELGRANO AV. 324,-58.370911,-34.61249,9,3
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,16,2
VEDIA 3438,-58.86039,-34.544242,1,2
VEDIA 3438,-58.86039,-34.544242,18,7
GARAY JUAN DE AV. 1769,-58.390037,-34.627139,18,8
ENTRE RIOS AV. 326,-58.391646,-34.613,13,16
VEDIA 3438,-58.86039,-34.544242,13,10
VEDIA 3438,-58.86039,-34.544242,3,1
RIVADAVIA AV. 7420,-58.469991,-34.630911,10,16
RIVADAVIA AV. 4987,-58.43608,-34.618047,16,5
CORDOBA AV. 2801,-58.407164,-34.597965,0,3
CORDOBA AV. 3329,-58.413685,-34.597847,14,4
CORDOBA AV. 3647,-58.417813,-34.597727,0,4
CORRIENTES AV. 5220,-58.439127,-34.59969,16,3
CORDOBA AV. 3647,-58.417813,-34.597727,6,4
SUAREZ 1635,-58.373758,-34.638502,6,1
SUAREZ 1635,-58.373758,-34.638502,3,2
BELGRANO AV. 324,-58.370911,-34.61249,3,2
PUEYRREDON AV. 870,-58.404389,-34.600218,16,7
PUEYRREDON AV. 1418,-58.402311,-34.594121,11,4
PUEYRREDON AV. 459,-58.405495,-34.60505,10,20
PUEYRREDON AV. 1418,-58.402311,-34.594121,19,3
PUEYRREDON AV. 1418,-58.402311,-34.594121,16,3
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,19,10
LIMA 1365,-58.381495,-34.624262,6,18
SANTA FE AV. 4650,-58.425858,-34.578448,9,7
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,11,10
FOREST AV. 634,-58.454309,-34.584925,10,6
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,16,30
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,8,21
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,11,15
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,15,22
LIMA OESTE 1524,-58.382189,-34.626200,11,17
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,9,22
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,12,24
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,10,12
SANTA FE AV. 4650,-58.425858,-34.578448,2,1
