calle,x0,y0,hora,cantidad
CORDOBA AV. 4471,-58.428774,-34.594989,6,40
CORRIENTES AV. 6210,-58.448402,-34.591075,12,317
CORRIENTES AV. 5220,-58.439127,-34.59969,16,408
DEL LIBERTADOR AV. 5722,-58.445603,-34.55931,6,54
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,8,256
ROSARIO 21,-58.429075,-34.618311,15,134
SUAREZ 1635,-58.373758,-34.638502,8,62
RIVADAVIA AV. 2775,-58.405518,-34.610013,11,279
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,15,140
ALEM LEANDRO N. AV. 518,-58.370691,-34.601595,17,45
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,16,145
MOSCONI GENERAL AV. 3000,-58.50334,-34.587077,7,23
RIVADAVIA AV. 7420,-58.469991,-34.630911,19,93
RIVADAVIA AV. 7218,-58.467187,-34.630203,0,75
FOREST AV. 634,-58.454309,-34.584925,10,298
SANTA FE AV. 1483,-58.388215,-34.595676,15,32
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,0,18
ROCA CNEL. AV. 5870,-58.460539,-34.689402,20,41
BELGRANO AV. 3218,-58.411416,-34.615436,5,19
RIVADAVIA AV. 2775,-58.405518,-34.610013,0,15
CALLAO AV. 1588,-58.391201,-34.591009,10,296
ALEM LEANDRO N. AV. 518,-58.370691,-34.601595,11,47
CALLAO AV. 681,-58.392623,-34.601114,10,35
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,20,77
LIMA 1365,-58.381495,-34.624262,14,87
SANTA FE AV. 4650,-58.425858,-34.578448,7,35
ENTRE RIOS AV. 326,-58.391646,-34.613,16,273
SAN MARTIN AV. 1844,-58.454414,-34.605652,9,224
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,13,44
AVELLANEDA AV. 1825,-58.456423,-34.621237,7,157
RIVADAVIA AV. 2775,-58.405518,-34.610013,3,10
TRIUNVIRATO AV. 4520,-58.4848,-34.575403,17,246
RIVADAVIA AV. 6626,-58.459176,-34.62777,2,31
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,16,44
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,12,265
CORDOBA AV. 1749,-58.392148,-34.599512,12,13
PUEYRREDON AV. 459,-58.405495,-34.60505,3,16
FOREST AV. 634,-58.454309,-34.584925,6,81
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,3,18
ROSARIO 21,-58.429075,-34.618311,14,161
ENTRE RIOS AV. 182,-58.391718,-34.611145,18,20
SANTA FE AV. 3889,-58.418132,-34.583669,9,51
INDEPENDENCIA AV. 2086,-58.395712,-34.618449,3,28
LACROZE FEDERICO AV. 2462,-58.445413,-34.571098,16,188
CORDOBA AV. 2801,-58.407164,-34.597965,18,14
SANTA FE AV. 1483,-58.388215,-34.595676,17,30
CALLAO AV. 858,-58.39311,-34.599002,9,288
GAONA AV. 2300,-58.459429,-34.613877,11,418
TRIUNVIRATO AV. 4520,-58.4848,-34.575403,3,38
GARAY JUAN DE AV. 1769,-58.390037,-34.627139,11,191
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,7,13
LACROZE FEDERICO AV. 2462,-58.445413,-34.571098,4,34
PUEYRREDON AV. 1418,-58.402311,-34.594121,3,55
CORDOBA AV. 1980,-58.395434,-34.599776,17,80
CORDOBA AV. 2523,-58.402911,-34.59879,11,7
PASEO COLON AV. 400,-58.368952,-34.612207,14,77
SANTA FE AV. 2622,-58.403884,-34.594047,17,27
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,19,50
RIVADAVIA AV. 10524,-58.511786,-34.639436,17,34
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,2,40
CORRIENTES AV. 3022,-58.408125,-34.604302,20,161
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,14,128
LARREA 477,-58.402156,-34.603736,6,44
ENTRE RIOS AV. 678,-58.391572,-34.616551,8,8
RIVADAVIA AV. 4987,-58.43608,-34.618047,13,241
PASEO COLON AV. 400,-58.368952,-34.612207,13,91
INDEPENDENCIA AV. 2086,-58.395712,-34.618449,5,22
RIVADAVIA AV. 10524,-58.511786,-34.639436,15,127
CORDOBA AV. 3647,-58.417813,-34.597727,6,4
CORDOBA AV. 3329,-58.413685,-34.597847,6,8
DEL LIBERTADOR AV. 5722,-58.445603,-34.55931,12,316
CALLAO AV. 681,-58.392623,-34.601114,3,5
PERON JUAN DOMINGO TTE. GENERAL 2687,-58.404461,-34.607561,19,42
MOSCONI GENERAL AV. 3000,-58.50334,-34.587077,18,3
RIVADAVIA AV. 7420,-58.469991,-34.630911,20,93
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,20,18
RIVADAVIA AV. 9618,-58.499769,-34.637578,10,210
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,19,335
SANTA FE AV. 2622,-58.403884,-34.594047,11,36
SANTA FE AV. 3889,-58.418132,-34.583669,8,29
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,4,34
CORDOBA AV. 2149,-58.398175,-34.599668,8,13
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,19,31
CORDOBA AV. 1147,-58.383217,-34.599039,12,8
CORDOBA AV. 2523,-58.402911,-34.59879,13,14
CORDOBA AV. 1147,-58.383217,-34.599039,13,6
CORDOBA AV. 1980,-58.395434,-34.599776,1,28
CALLAO AV. 858,-58.39311,-34.599002,1,102
AVELLANEDA AV. 1825,-58.456423,-34.621237,20,245
TRIUNVIRATO AV. 4520,-58.4848,-34.575403,3,34
SANTA FE AV. 2622,-58.403884,-34.594047,16,43
ENTRE RIOS AV. 182,-58.391718,-34.611145,16,16
ALBERDI JUAN BAUTISTA AV. 890,-58.440541,-34.623013,11,383
PUEYRREDON AV. 1418,-58.402311,-34.594121,3,47
SANTA FE AV. 2622,-58.403884,-34.594047,2,13
SAN MARTIN AV. 1844,-58.454414,-34.605652,12,239
ENTRE RIOS AV. 326,-58.391646,-34.613,4,104
FOREST AV. 634,-58.454309,-34.584925,19,259
MOSCONI GENERAL AV. 3000,-58.50334,-34.587077,9,110
CORRIENTES AV. 5220,-58.439127,-34.59969,20,414
CORDOBA AV. 4471,-58.428774,-34.594989,0,66
FOREST AV. 634,-58.454309,-34.584925,6,110
ROSARIO 21,-58.429075,-34.618311,18,171
AVELLANEDA AV. 2924,-58.471929,-34.626563,4,4
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,6,127
AVELLANEDA AV. 2924,-58.471929,-34.626563,7,63
CORRIENTES AV. 3022,-58.408125,-34.604302,9,304
CALLAO AV. 1588,-58.391201,-34.591009,19,302
PUEYRREDON AV. 367,-58.40571,-34.605973,4,16
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,10,111
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,11,227
CALLAO AV. 337,-58.392133,-34.605181,1,16
RIVADAVIA AV. 6626,-58.459176,-34.62777,8,83
CORRIENTES AV. 6210,-58.448402,-34.591075,8,179
CORDOBA AV. 4471,-58.428774,-34.594989,17,241
CORDOBA AV. 1431,-58.387335,-34.599232,3,4
CORDOBA AV. 3329,-58.413685,-34.597847,5,6
CORDOBA AV. 3143,-58.410998,-34.597969,5,4
ENTRE RIOS AV. 326,-58.391646,-34.613,20,312
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,12,62
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,10,52
CORDOBA AV. 3647,-58.417813,-34.597727,17,24
ENTRE RIOS AV. 182,-58.391718,-34.611145,19,24
SANTA FE AV. 3889,-58.418132,-34.583669,11,60
CORDOBA AV. 3143,-58.410998,-34.597969,15,10
CORRIENTES AV. 5220,-58.439127,-34.59969,3,129
AVELLANEDA AV. 2924,-58.471929,-34.626563,5,11
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,9,134
SUAREZ 1635,-58.373758,-34.638502,16,129
GARAY JUAN DE AV. 1769,-58.390037,-34.627139,19,151
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,10,35
PASEO COLON AV. 400,-58.368952,-34.612207,9,64
CALLAO AV. 337,-58.392133,-34.605181,11,29
CORDOBA AV. 4570,-58.429776,-34.594591,17,415
SANTA FE AV. 2622,-58.403884,-34.594047,13,31
ROSARIO 21,-58.429075,-34.618311,16,144
BELGRANO AV. 3218,-58.411416,-34.615436,10,280
ROSARIO 21,-58.429075,-34.618311,9,123
CORDOBA AV. 1980,-58.395434,-34.599776,16,230
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,2,10
CORDOBA AV. 2801,-58.407164,-34.597965,12,23
CORDOBA AV. 4570,-58.429776,-34.594591,4,73
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,8,32
LIMA 281,-58.381872,-34.611723,19,60
RIVADAVIA AV. 2775,-58.405518,-34.610013,10,251
ROSARIO 21,-58.429075,-34.618311,19,140
CORDOBA AV. 3143,-58.410998,-34.597969,12,17
CORDOBA AV. 4471,-58.428774,-34.594989,4,12
GARAY JUAN DE AV. 1769,-58.390037,-34.627139,10,166
PUEYRREDON AV. 1418,-58.402311,-34.594121,17,144
SANTA FE AV. 2622,-58.403884,-34.594047,5,6
NAZCA AV. 479,-58.471328,-34.626678,8,108
CALLAO AV. 858,-58.39311,-34.599002,15,318
CABILDO AV. 1716,-58.453855,-34.565367,14,159
PASEO COLON AV. 400,-58.368952,-34.612207,1,35
SANTA FE AV. 4650,-58.425858,-34.578448,10,88
SAN JUAN AV. 1119,-58.381832,-34.622096,13,308
BELGRANO AV. 324,-58.370911,-34.61249,11,104
PUEYRREDON AV. 459,-58.405495,-34.60505,16,40
PASEO COLON AV. 400,-58.368952,-34.612207,6,47
CORDOBA AV. 2801,-58.407164,-34.597965,5,5
CORDOBA AV. 4471,-58.428774,-34.594989,12,464
LACROZE FEDERICO AV. 2462,-58.445413,-34.571098,3,59
NAZCA AV. 479,-58.471328,-34.626678,18,148
SAN JUAN AV. 1119,-58.381832,-34.622096,11,178
SANTA FE AV. 3889,-58.418132,-34.583669,7,26
SANTA FE AV. 2622,-58.403884,-34.594047,7,18
PUEYRREDON AV. 1418,-58.402311,-34.594121,12,148
CALLAO AV. 337,-58.392133,-34.605181,6,24
CALLAO AV. 337,-58.392133,-34.605181,2,12
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 2+701,-58.439777,-34.631321,16,415
AVELLANEDA AV. 2924,-58.471929,-34.626563,14,194
CORDOBA AV. 3329,-58.413685,-34.597847,12,27
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 2+701,-58.439777,-34.631321,9,282
ENTRE RIOS AV. 1818,-58.390787,-34.629623,13,162
CALLAO AV. 681,-58.392623,-34.601114,5,10
ROSARIO 21,-58.429075,-34.618311,2,56
ALEM LEANDRO N. AV. 518,-58.370691,-34.601595,15,56
ENTRE RIOS AV. 1818,-58.390787,-34.629623,15,135
PASEO COLON AV. 400,-58.368952,-34.612207,7,80
ALBERDI JUAN BAUTISTA AV. 890,-58.440541,-34.623013,0,243
MOSCONI GENERAL AV. 3000,-58.50334,-34.587077,10,66
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,20,22
PUEYRREDON AV. 1418,-58.402311,-34.594121,18,156
LIMA OESTE 1524,-58.382189,-34.626200,17,3
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,5,11
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,1,24
CORDOBA AV. 4570,-58.429776,-34.594591,16,349
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,18,12
BOEDO AV. 965,-58.416231,-34.624996,20,86
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,0,12
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,16,64
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,12,152
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,16,421
CALLAO AV. 1588,-58.391201,-34.591009,20,306
GAONA AV. 2300,-58.459429,-34.613877,11,413
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,18,55
LACROZE FEDERICO AV. 2462,-58.445413,-34.571098,7,76
SANTA FE AV. 2622,-58.403884,-34.594047,18,37
BOEDO AV. 965,-58.416231,-34.624996,18,121
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,13,48
CORDOBA AV. 2523,-58.402911,-34.59879,13,13
CORRIENTES AV. 3022,-58.408125,-34.604302,8,268
SUAREZ 1635,-58.373758,-34.638502,19,101
ROSARIO 21,-58.429075,-34.618311,13,151
SAN JUAN AV. 1119,-58.381832,-34.622096,9,201
RIVADAVIA AV. 7218,-58.467187,-34.630203,19,125
LIMA 1365,-58.381495,-34.624262,2,29
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,15,31
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,4,18
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,16,473
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,6,27
PUEYRREDON AV. 214,-58.406212,-34.607467,8,240
PUEYRREDON AV. 768,-58.404705,-34.601207,18,32
RIVADAVIA AV. 6626,-58.459176,-34.62777,6,27
TRIUNVIRATO AV. 4520,-58.4848,-34.575403,9,237
MONTES DE OCA MANUEL AV. 1685,-58.373211,-34.646401,1,27
INDEPENDENCIA AV. 1784,-58.391307,-34.618226,12,310
CORDOBA AV. 1431,-58.387335,-34.599232,19,7
CORDOBA AV. 4471,-58.428774,-34.594989,20,128
SANTA FE AV. 1483,-58.388215,-34.595676,14,27
INDEPENDENCIA AV. 2086,-58.395712,-34.618449,1,51
ENTRE RIOS AV. 678,-58.391572,-34.616551,7,4
CORDOBA AV. 2149,-58.398175,-34.599668,10,10
PUEYRREDON AV. 214,-58.406212,-34.607467,10,250
CORDOBA AV. 1431,-58.387335,-34.599232,15,19
CALLAO AV. 681,-58.392623,-34.601114,11,28
FOREST AV. 634,-58.454309,-34.584925,8,199
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,18,47
LARREA 477,-58.402156,-34.603736,8,65
ROCA CNEL. AV. 5870,-58.460539,-34.689402,12,36
PUEYRREDON AV. 459,-58.405495,-34.60505,13,48
PUEYRREDON AV. 1418,-58.402311,-34.594121,6,73
RIVADAVIA AV. 2775,-58.405518,-34.610013,7,93
ENTRE RIOS AV. 1818,-58.390787,-34.629623,10,191
TRIUNVIRATO AV. 4520,-58.4848,-34.575403,20,279
CORRIENTES AV. 6210,-58.448402,-34.591075,13,326
BELGRANO AV. 324,-58.370911,-34.61249,20,149
CORDOBA AV. 2801,-58.407164,-34.597965,19,20
CALLAO AV. 858,-58.39311,-34.599002,11,293
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,1,111
ALBERDI JUAN BAUTISTA AV. 890,-58.440541,-34.623013,4,58
PUEYRREDON AV. 367,-58.40571,-34.605973,16,52
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,13,143
ROSARIO 21,-58.429075,-34.618311,18,136
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,16,485
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,16,142
FOREST AV. 634,-58.454309,-34.584925,14,274
CORRIENTES AV. 5220,-58.439127,-34.59969,14,372
LIMA ESTE Y GARAY JUAN DE,-58.382235,-34.626842,9,43
SANTA FE AV. 2622,-58.403884,-34.594047,3,11
SAN JUAN AV. 1119,-58.381832,-34.622096,12,261
SUAREZ 1635,-58.373758,-34.638502,15,108
LIMA 281,-58.381872,-34.611723,13,148
ENTRE RIOS AV. 926,-58.391557,-34.619431,16,25
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,20,214
LARREA 477,-58.402156,-34.603736,7,60
CALLAO AV. 858,-58.39311,-34.599002,12,301
CASEROS AV. 3020,-58.406358,-34.637334,9,31
CORDOBA AV. 3143,-58.410998,-34.597969,0,2
CORRIENTES AV. 3022,-58.408125,-34.604302,16,253
LIMA OESTE 1524,-58.382189,-34.626200,17,5
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 2+701,-58.439777,-34.631321,7,218
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,16,52
GARAY JUAN DE AV. 1769,-58.390037,-34.627139,3,23
RIVADAVIA AV. 2775,-58.405518,-34.610013,5,11
VEDIA 3438,-58.86039,-34.544242,4,2
CORDOBA AV. 3329,-58.413685,-34.597847,16,15
CORDOBA AV. 2523,-58.402911,-34.59879,16,6
PUEYRREDON AV. 367,-58.40571,-34.605973,8,25
INDEPENDENCIA AV. 1784,-58.391307,-34.618226,15,74
INDEPENDENCIA AV. 2086,-58.395712,-34.618449,0,73
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 2+701,-58.439777,-34.631321,15,410
CORDOBA AV. 4471,-58.428774,-34.594989,12,523
RIVADAVIA AV. 7420,-58.469991,-34.630911,10,123
CORRIENTES AV. 3022,-58.408125,-34.604302,12,326
BOEDO AV. 965,-58.416231,-34.624996,14,160
ENTRE RIOS AV. 1818,-58.390787,-34.629623,6,80
NAZCA AV. 479,-58.471328,-34.626678,14,133
BELGRANO AV. 3218,-58.411416,-34.615436,12,288
CALLAO AV. 681,-58.392623,-34.601114,5,6
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,8,99
SANTA FE AV. 3889,-58.418132,-34.583669,0,87
SANTA FE AV. 1483,-58.388215,-34.595676,0,16
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,18,143
PUEYRREDON AV. 214,-58.406212,-34.607467,12,232
CORRIENTES AV. 6210,-58.448402,-34.591075,11,317
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,13,221
DE IRIGIOYEN BERNARDO 1026,-58.3799,-34.62006,13,75
LACROZE FEDERICO AV. 2462,-58.445413,-34.571098,14,166
SANTA FE AV. 4650,-58.425858,-34.578448,8,53
SANTA FE AV. 3889,-58.418132,-34.583669,11,75
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 2+701,-58.439777,-34.631321,12,453
LARREA 477,-58.402156,-34.603736,12,91
CORDOBA AV. 1147,-58.383217,-34.599039,20,7
RIVADAVIA AV. 7420,-58.469991,-34.630911,15,97
PUEYRREDON AV. 367,-58.40571,-34.605973,3,17
CORDOBA AV. 3329,-58.413685,-34.597847,10,14
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,13,141
SANTA FE AV. 2622,-58.403884,-34.594047,17,25
CALLAO AV. 337,-58.392133,-34.605181,16,42
SANTA FE AV. 2622,-58.403884,-34.594047,9,20
AVELLANEDA AV. 2924,-58.471929,-34.626563,5,10
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,20,89
VUELTA DE OBLIGADO 2179,-58.456328,-34.560704,4,3
VEDIA 3438,-58.86039,-34.544242,0,20
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,4,97
CORDOBA AV. 4471,-58.428774,-34.594989,2,36
CORDOBA AV. 4570,-58.429776,-34.594591,6,124
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,19,44
DEL LIBERTADOR AV. 5722,-58.445603,-34.55931,11,316
GAONA AV. 2300,-58.459429,-34.613877,5,91
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,10,171
BELGRANO AV. 324,-58.370911,-34.61249,20,182
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,13,27
CORRIENTES AV. 3022,-58.408125,-34.604302,8,228
RIVADAVIA AV. 7420,-58.469991,-34.630911,7,74
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,20,69
BELGRANO AV. 3218,-58.411416,-34.615436,18,244
LACROZE FEDERICO AV. 2462,-58.445413,-34.571098,2,88
CORDOBA AV. 3143,-58.410998,-34.597969,0,4
SAN JUAN AV. 1119,-58.381832,-34.622096,19,54
SANTA FE AV. 1483,-58.388215,-34.595676,13,33
SANTA FE AV. 1483,-58.388215,-34.595676,9,25
MONTES DE OCA MANUEL AV. 1685,-58.373211,-34.646401,12,88
RABANAL FRANCISCO INTENDENTE AV. 1323,-58.417658,-34.654886,8,80
BELGRANO AV. 3218,-58.411416,-34.615436,11,311
ENTRE RIOS AV. 182,-58.391718,-34.611145,11,19
RIVADAVIA AV. 10524,-58.511786,-34.639436,1,17
RIVADAVIA AV. 10524,-58.511786,-34.639436,2,9
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,14,135
CORDOBA AV. 2801,-58.407164,-34.597965,15,10
JUSTO JUAN B. AV. 4781,-58.466338,-34.610364,13,196
CASEROS AV. 3020,-58.406358,-34.637334,17,56
ROSARIO 21,-58.429075,-34.618311,16,155
PASEO COLON AV. 400,-58.368952,-34.612207,9,61
SAN JUAN AV. 1119,-58.381832,-34.622096,10,213
LIMA OESTE 1524,-58.382189,-34.626200,10,4
SANTA FE AV. 2622,-58.403884,-34.594047,13,22
CALLAO AV. 681,-58.392623,-34.601114,13,52
CORDOBA AV. 3647,-58.417813,-34.597727,18,23
BELGRANO AV. 324,-58.370911,-34.61249,16,120
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,7,218
RABANAL FRANCISCO INTENDENTE AV. 1323,-58.417658,-34.654886,10,106
CORDOBA AV. 2149,-58.398175,-34.599668,12,9
GARAY JUAN DE AV. 1769,-58.390037,-34.627139,11,169
PUEYRREDON AV. 768,-58.404705,-34.601207,17,50
PUEYRREDON AV. 870,-58.404389,-34.600218,2,24
ENTRE RIOS AV. 678,-58.391572,-34.616551,19,6
ROSARIO 21,-58.429075,-34.618311,20,187
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,20,111
GAONA AV. 2300,-58.459429,-34.613877,2,166
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,14,77
ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,19,340
RIVADAVIA AV. 4987,-58.43608,-34.618047,10,219
LAS HERAS GENERAL AV. 2289,-58.396838,-34.587651,11,81
SANTA FE AV. 1483,-58.388215,-34.595676,11,34
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,0,195
VEDIA 3438,-58.86039,-34.544242,11,155
AVELLANEDA AV. 2924,-58.471929,-34.626563,9,147
SANTA FE AV. 4650,-58.425858,-34.578448,6,25
SANTA FE AV. 2622,-58.403884,-34.594047,7,12
PASEO COLON AV. 753,-58.369509,-34.616769,3,17
RIVADAVIA AV. 6626,-58.459176,-34.62777,16,125
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 2+701,-58.439777,-34.631321,20,330
CORDOBA AV. 2149,-58.398175,-34.599668,2,9
AU. PERITO MORENO - SENTIDO PROVINCIA - PK 0+701,-58.522022,-34.636805,0,63
SAN JUAN AV. 1119,-58.381832,-34.622096,7,105
BOEDO AV. 965,-58.416231,-34.624996,15,140
INDEPENDENCIA AV. 2086,-58.395712,-34.618449,13,319
INDEPENDENCIA AV. 2086,-58.395712,-34.618449,11,291
ENTRE RIOS AV. 182,-58.391718,-34.611145,0,2
AVELLANEDA AV. 2924,-58.471929,-34.626563,10,173
AU. 25 DE MAYO - SENTIDO PROVINCIA - PK 1+261,-58.454008,-34.637039,14,488
SAN MARTIN AV. 1844,-58.454414,-34.605652,20,246
DEL LIBERTADOR AV. 5722,-58.445603,-34.55931,0,155
RIVADAVIA AV. 7218,-58.467187,-34.630203,8,126
CORDOBA AV. 4471,-58.428774,-34.594989,10,444
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,9,82
ALBERDI JUAN BAUTISTA AV. 890,-58.440541,-34.623013,15,426
CORDOBA AV. 3329,-58.413685,-34.597847,17,18
CORDOBA AV. 1431,-58.387335,-34.599232,18,10
BELGRANO AV. 3218,-58.411416,-34.615436,4,17
AVELLANEDA AV. 2924,-58.471929,-34.626563,1,18
CORDOBA AV. 4570,-58.429776,-34.594591,0,183
ENTRE RIOS AV. 182,-58.391718,-34.611145,14,19
DEL LIBERTADOR AV. 5722,-58.445603,-34.55931,14,281
RIVADAVIA AV. 7218,-58.467187,-34.630203,1,61
CABILDO AV. 1716,-58.453855,-34.565367,15,176
VERTIZ VIRREY AV. 2010,-58.449507,-34.559083,8,20
CORDOBA AV. 4471,-58.428774,-34.594989,14,476
ENTRE RIOS AV. 1818,-58.390787,-34.629623,20,103
CORDOBA AV. 1431,-58.387335,-34.599232,20,12
CORDOBA AV. 3647,-58.417813,-34.597727,10,17
CORRIENTES AV. 5220,-58.439127,-34.59969,13,433
ENTRE RIOS AV. 182,-58.391718,-34.611145,8,27
BELGRANO AV. 3218,-58.411416,-34.615436,17,236
CABILDO AV. 1716,-58.453855,-34.565367,0,40
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,16,58
RIVADAVIA AV. 10524,-58.511786,-34.639436,0,22
CORRIENTES AV. 3022,-58.408125,-34.604302,4,18
CORDOBA AV. 4570,-58.429776,-34.594591,4,88
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,19,101
CALLAO AV. 858,-58.39311,-34.599002,7,245
PUEYRREDON AV. 870,-58.404389,-34.600218,11,38
CORDOBA AV. 2523,-58.402911,-34.59879,1,6
CORDOBA AV. 1147,-58.383217,-34.599039,14,3
CORDOBA AV. 2523,-58.402911,-34.59879,17,3
INDEPENDENCIA AV. 1784,-58.391307,-34.618226,14,283
BEIRO FRANCISCO AV. 2875,-58.494038,-34.594803,3,15
PUEYRREDON AV. 214,-58.406212,-34.607467,4,77
CABILDO AV. 1716,-58.453855,-34.565367,9,137
SANTA FE AV. 4650,-58.425858,-34.578448,5,5
CORDOBA AV. 2523,-58.402911,-34.59879,0,3
ROSARIO 21,-58.429075,-34.618311,14,168
CASEROS AV. 3020,-58.406358,-34.637334,12,88
CORDOBA AV. 4471,-58.428774,-34.594989,8,318
MOSCONI GENERAL AV. 3000,-58.50334,-34.587077,19,3
SANTA FE AV. 3889,-58.418132,-34.583669,13,91
CORDOBA AV. 3329,-58.413685,-34.597847,18,25
CABILDO AV. 1716,-58.453855,-34.565367,9,136
ENTRE RIOS AV. 326,-58.391646,-34.613,6,204
CABILDO AV. 1716,-58.453855,-34.565367,6,43
ENTRE RIOS AV. 926,-58.391557,-34.619431,13,31
SANTA FE AV. 4650,-58.425858,-34.578448,4,11
BELGRANO AV. 3218,-58.411416,-34.615436,13,277
MONTES DE OCA MANUEL AV. 1685,-58.373211,-34.646401,0,43
LAS HERAS GENERAL AV. 2252,-58.396535,-34.588012,10,30
PUEYRREDON AV. 214,-58.406212,-34.607467,13,241
CALLAO AV. 858,-58.39311,-34.599002,6,104
RIVADAVIA AV. 10524,-58.511786,-34.639436,5,8
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,1,127
LACROZE FEDERICO AV. 4199,-58.455081,-34.587105,3,40
DEL LIBERTADOR AV. 5722,-58.445603,-34.55931,9,216
CORRIENTES AV. 3022,-58.408125,-34.604302,10,334
LAS HERAS GENERAL AV. 1870,-58.392633,-34.591284,5,16
RIVADAVIA AV. 9618,-58.499769,-34.637578,11,191
PUEYRREDON AV. 768,-58.404705,-34.601207,13,56
PASEO COLON AV. 753,-58.369509,-34.616769,8,55
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,6,50
SCALABRINI ORTIZ RAUL AV. 1385,-58.427003,-34.592379,6,60
GAONA AV. 2300,-58.459429,-34.613877,8,264
CASEROS AV. 3020,-58.406358,-34.637334,14,54
RIVADAVIA AV. 7218,-58.467187,-34.630203,11,194
CABILDO AV. 1716,-58.453855,-34.565367,18,148
DE LA TORRE LISANDRO 663,-58.520368,-34.646059,15,36
VEDIA 3438,-58.86039,-34.544242,12,181
SANTA FE AV. 4650,-58.425858,-34.578448,19,81
