fecha_conteo,dia_conteo,mes_conteo,anio_conteo,ubicacion_conteo,longitud_conteo,latitud_conteo,comuna_conteo,cantidad_carriles_via_conteos,especificacion_via_conteos,tipo_circulacion_via_conteos,sentido_circulacion_conteo,conteo_vehiculos
2025-04-03,3,4,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,11438
2025-04-10,10,4,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,12476
2025-04-17,17,4,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,11470
2025-04-24,24,4,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,10780
2025-05-01,1,5,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,9486
2025-05-08,8,5,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,11012
2025-05-15,15,5,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,11140
2025-05-22,22,5,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,11825
2025-05-29,29,5,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,11176
2025-06-05,5,6,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,12696
2025-06-12,12,6,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,12933
2025-06-19,19,6,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,13934
2025-06-26,26,6,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,14057
2025-07-03,3,7,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,13811
2025-07-10,10,7,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,13541
2025-07-17,17,7,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,13541
2025-07-24,24,7,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,13493
2025-07-31,31,7,2025,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,2,calle_avenida,doble,sur,13753
2025-01-03,3,1,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5442
2025-01-10,10,1,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5180
2025-01-17,17,1,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5313
2025-01-24,24,1,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,4388
2025-01-31,31,1,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,4730
2025-02-07,7,2,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5445
2025-02-14,14,2,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5782
2025-02-21,21,2,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,6053
2025-02-28,28,2,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5790
2025-03-06,6,3,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5925
2025-03-13,13,3,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,4979
2025-03-20,20,3,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,4342
2025-03-27,27,3,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5683
2025-04-03,3,4,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5055
2025-04-10,10,4,2025,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,,Carriles Exclusivos,única,norte,5986
